,location,total_sqft,bath,price,bhk,encoded_loc
2257,Thanisandra,1652.5,2,58.68,2,209
2258,Bellandur,900.0,2,56.0,2,40
2259,Binny Pete,1350.0,2,91.0,2,45
2260,Kaggalipura,700.0,1,36.0,1,119
2261,others,1160.0,2,46.39,2,230
2262,Hennur Road,1680.0,3,99.27,3,96
2263,LB Shastri Nagar,1043.0,2,55.0,2,151
2264,Hebbal,1040.0,2,46.0,2,92
2265,Tindlu,1357.0,2,65.0,3,213
2266,others,1225.0,2,47.0,2,230
2267,Yelachenahalli,1130.0,2,40.0,2,225
2268,Basavangudi,2500.0,4,150.0,4,35
2269,Sultan Palaya,1700.0,3,120.0,3,206
2270,Doddathoguru,1549.0,3,65.0,3,70
2271,Yeshwanthpur,1400.0,2,100.0,2,229
2272,Dodda Nekkundi,1080.0,2,50.0,2,67
2273,Domlur,1800.0,3,150.0,3,71
2274,Abbigere,1005.0,2,39.59,2,10
2275,Whitefield,1320.0,2,95.0,2,224
2276,Anandapura,1475.0,2,50.0,4,15
2277,Kudlu Gate,2489.0,2,99.745,3,148
2278,others,1110.0,2,51.0,2,230
2279,others,1300.0,2,54.0,2,230
2280,Electronic City,1128.0,2,65.35,2,74
2281,Jakkur,1452.19,2,100.0,2,110
2282,Banashankari,2600.0,4,135.0,3,26
2283,Sanjay nagar,630.0,1,35.0,2,191
2284,Hosa Road,1243.0,2,48.5,2,101
2285,others,960.0,2,32.0,2,230
2286,others,1690.0,3,100.0,3,230
2287,Whitefield,735.0,2,35.0,2,224
2288,Banaswadi,1365.0,2,73.0,2,31
2289,Hebbal,1420.0,2,99.39,2,92
2290,Somasundara Palya,1570.0,3,68.0,3,202
2291,Bisuvanahalli,850.0,1,32.0,2,46
2292,7th Phase JP Nagar,1575.0,2,110.0,3,6
2293,Thigalarapalya,1418.0,2,104.0,2,210
2294,Uttarahalli,1050.0,2,42.0,2,216
2295,Ulsoor,1340.0,3,90.0,3,215
2296,Yelahanka New Town,1610.0,3,92.0,3,227
2297,Electronic City Phase II,1160.0,2,33.5,2,75
2298,Kudlu,1092.0,2,44.0,2,147
2299,Yelahanka,1455.0,3,61.5,3,226
2300,others,799.0,2,38.0,2,230
2301,Whitefield,1896.0,3,75.0,3,224
2302,Ardendale,1100.0,2,48.0,2,19
2303,Bellandur,1350.0,2,79.0,2,40
2304,others,1355.0,3,61.0,3,230
2305,others,1350.0,2,90.0,2,230
2306,Kasavanhalli,1493.0,3,82.0,3,130
2307,8th Phase JP Nagar,1098.0,2,43.91,2,7
2308,others,1460.0,3,88.0,3,230
2309,Varthur,1091.0,2,32.0,2,217
2310,Yelahanka,1180.0,2,42.0,2,226
2311,Kanakpura Road,1366.0,3,76.85,2,127
2312,others,1685.0,3,95.0,3,230
2313,Koramangala,1260.0,2,100.0,2,144
2314,Whitefield,3010.0,3,200.0,3,224
2315,Whitefield,1346.0,2,96.17,2,224
2316,Sarjapur  Road,2199.0,2,98.94,3,194
2317,7th Phase JP Nagar,1850.0,3,140.0,3,6
2318,Electronic City,755.0,1,34.0,2,74
2319,others,1194.0,2,46.0,2,230
2320,Whitefield,3850.0,5,316.0,3,224
2321,others,800.0,1,52.0,1,230
2322,Vijayanagar,1352.0,2,68.0,2,220
2323,Thanisandra,2002.0,3,112.0,3,209
2324,others,4000.0,5,280.0,4,230
2325,Kaval Byrasandra,1060.0,2,45.0,2,133
2326,Kanakpura Road,1419.59,2,59.0,3,127
2327,Raja Rajeshwari Nagar,1196.0,2,51.15,2,184
2328,Electronic City,1220.0,2,35.24,3,74
2329,Electronics City Phase 1,1595.0,3,75.0,3,76
2330,Banashankari,1260.0,2,75.0,2,26
2331,Hebbal,1100.0,2,47.0,2,92
2332,ISRO Layout,1180.0,2,52.0,2,106
2333,Electronic City,4000.0,5,150.0,4,74
2334,Akshaya Nagar,1662.0,3,85.0,3,11
2335,Ambedkar Nagar,1862.0,3,119.0,3,13
2336,Raja Rajeshwari Nagar,1419.0,2,48.0,2,184
2337,Whitefield,1410.0,3,43.71,3,224
2338,Raja Rajeshwari Nagar,1560.0,2,62.4,3,184
2339,Thanisandra,1634.0,3,78.0,3,209
2340,Whitefield,1150.0,2,44.0,3,224
2341,others,1100.0,2,53.0,2,230
2342,Yelahanka,1616.0,3,65.0,3,226
2343,Nagavarapalya,1392.0,2,99.0,2,172
2344,Jakkur,1798.0,3,120.0,3,110
2345,Babusapalaya,1675.0,3,75.0,3,24
2346,others,2000.0,4,103.0,5,230
2347,Hebbal,1700.0,3,124.0,3,92
2348,Hulimavu,1248.0,2,69.0,2,105
2349,others,1147.0,2,54.0,2,230
2350,Sultan Palaya,1100.0,2,40.0,2,206
2351,Vijayanagar,1527.0,3,115.0,3,220
2352,Kanakpura Road,525.0,1,25.0,1,127
2353,Kaggadasapura,1100.0,2,58.0,2,118
2354,Seegehalli,1118.0,2,37.5,2,198
2355,Kanakapura,1476.0,3,75.0,3,126
2356,others,2100.0,3,75.0,3,230
2357,others,1215.0,2,46.5,3,230
2358,Ambalipura,1332.0,2,79.0,2,12
2359,Hennur Road,1350.0,2,49.0,2,96
2360,NGR Layout,1105.0,2,49.73,2,167
2361,Kasavanhalli,1200.0,2,50.0,2,130
2362,Ramagondanahalli,1251.0,2,47.4,2,187
2363,Pai Layout,1400.0,2,67.0,3,179
2364,Hegde Nagar,1703.0,3,113.0,3,94
2365,NRI Layout,2500.0,5,130.0,5,168
2366,Varthur,1250.0,3,71.0,3,217
2367,Jigani,933.0,2,43.0,2,113
2368,others,461.82,1,31.7,1,230
2369,Brookefield,1262.0,2,75.0,2,51
2370,Yelahanka,915.0,2,48.0,2,226
2371,Panathur,1370.0,2,61.5,3,180
2372,Malleshpalya,1210.0,2,55.0,2,159
2373,others,1500.0,2,85.0,3,230
2374,others,1065.0,2,50.0,2,230
2375,Ramamurthy Nagar,1515.0,3,65.0,3,188
2376,Sarjapura - Attibele Road,1800.0,4,110.0,4,195
2377,Uttarahalli,1300.0,2,55.0,3,216
2378,Vijayanagar,989.0,2,60.0,2,220
2379,Jakkur,1300.0,2,85.0,2,110
2380,Marathahalli,1045.0,2,60.0,2,161
2381,others,1205.0,2,42.18,2,230
2382,others,1260.0,2,75.0,2,230
2383,Ulsoor,1500.0,2,125.0,3,215
2384,Bommanahalli,1250.0,2,42.5,3,47
2385,others,1199.0,2,50.0,2,230
2386,Lakshminarayana Pura,1149.0,2,75.0,2,153
2387,Sarjapur  Road,2180.0,3,170.0,3,194
2388,others,12000.0,12,525.0,10,230
2389,Hulimavu,1818.0,3,135.0,3,105
2390,others,1070.0,2,33.0,2,230
2391,Nagarbhavi,1350.0,2,54.6,3,169
2392,Chandapura,630.0,1,27.0,2,55
2393,Hoodi,1430.0,2,113.0,2,97
2394,Nagavara,2430.0,4,180.0,3,171
2395,Sarjapur  Road,1084.0,2,55.0,2,194
2396,Hennur Road,1186.0,2,56.0,3,96
2397,Kengeri,1255.0,2,50.0,2,135
2398,Haralur Road,3400.0,5,240.0,4,90
2399,Hosa Road,1541.0,3,69.84,3,101
2400,Iblur Village,3596.0,5,282.0,4,107
2401,Raja Rajeshwari Nagar,1295.0,2,70.0,2,184
2402,7th Phase JP Nagar,1370.0,2,54.79,3,6
2403,Electronic City,1100.0,2,40.0,2,74
2404,JP Nagar,1200.0,2,62.0,2,109
2405,Gunjur,2000.0,3,95.0,4,85
2406,Sarjapur  Road,1220.0,3,62.0,3,194
2407,others,1950.0,3,130.0,3,230
2408,Somasundara Palya,1178.0,2,73.0,2,202
2409,Dasanapura,1286.0,3,61.44,3,63
2410,Begur Road,1160.0,2,42.0,2,39
2411,Jigani,918.0,2,55.0,2,113
2412,Electronic City,1563.0,3,91.84,3,74
2413,others,1326.0,2,62.17,2,230
2414,Begur Road,1240.0,2,39.06,2,39
2415,Kaggadasapura,1325.0,2,50.0,2,118
2416,Sonnenahalli,1100.0,2,44.0,2,204
2417,Gollarapalya Hosahalli,1605.0,3,50.0,3,81
2418,Somasundara Palya,1260.0,2,60.0,2,202
2419,Hoodi,1553.0,3,83.09,3,97
2420,Whitefield,1280.0,2,52.0,2,224
2421,Hebbal,1550.0,2,75.0,3,92
2422,Murugeshpalya,1550.0,3,74.0,3,165
2423,Electronics City Phase 1,1515.0,2,80.91,3,76
2424,Hosa Road,1332.0,2,86.12,3,101
2425,Electronic City,1652.0,3,70.0,3,74
2426,Hegde Nagar,1570.0,3,105.0,3,94
2427,Sector 2 HSR Layout,794.0,1,60.0,1,196
2428,Seegehalli,1200.0,2,62.0,3,198
2429,Sarjapur  Road,1750.0,3,110.0,3,194
2430,Hebbal,1053.0,2,48.0,2,92
2431,Kadubeesanahalli,1665.0,3,70.0,3,116
2432,Bommasandra,1447.0,3,80.0,3,48
2433,Balagere,1012.0,2,75.0,2,25
2434,Malleshpalya,1900.0,3,60.0,3,159
2435,others,1308.0,2,92.66,2,230
2436,Hormavu,1351.0,2,53.0,1,100
2437,Gunjur,1140.0,2,49.11,2,85
2438,Jakkur,4305.905,4,260.5,4,110
2439,Uttarahalli,1250.0,2,55.0,3,216
2440,Kanakapura,1290.0,3,45.15,3,126
2441,Garudachar Palya,1320.0,2,60.6,3,79
2442,Akshaya Nagar,1662.0,3,85.5,3,11
2443,Battarahalli,1777.0,3,100.0,3,37
2444,Kadugodi,1900.0,3,108.0,3,117
2445,Anandapura,1576.0,3,59.1,3,15
2446,Sompura,1020.0,2,41.0,2,203
2447,others,2100.0,3,170.0,3,230
2448,Raja Rajeshwari Nagar,648.0,1,31.75,1,184
2449,Neeladri Nagar,1167.0,2,38.0,3,173
2450,Hoodi,1220.0,2,50.89,2,97
2451,Vittasandra,1259.0,2,67.4,2,223
2452,Gottigere,2000.0,4,82.0,4,82
2453,8th Phase JP Nagar,1800.0,3,80.0,3,7
2454,others,1991.0,3,160.0,3,230
2455,Bannerghatta,1665.0,3,110.0,3,33
2456,others,1234.0,2,61.0,2,230
2457,Mysore Road,1340.0,2,64.31,3,166
2458,Banashankari,1170.0,2,46.79,2,26
2459,Electronics City Phase 1,995.0,2,46.0,2,76
2460,Old Airport Road,1075.0,2,60.0,2,176
2461,Electronic City,1025.0,2,54.5,2,74
2462,Rachenahalli,2721.0,3,113.0,3,183
2463,Thanisandra,2000.0,3,99.0,3,209
2464,Whitefield,2500.0,4,155.0,4,224
2465,Mallasandra,1325.0,2,70.0,2,158
2466,Kadugodi,1314.0,2,68.2,2,117
2467,Kanakpura Road,2265.0,3,136.0,3,127
2468,7th Phase JP Nagar,4800.0,7,170.0,7,6
2469,Yelahanka,1026.0,2,41.0,2,226
2470,others,1200.0,3,66.0,3,230
2471,others,2220.0,4,65.0,3,230
2472,KR Puram,1727.5,2,51.22,2,115
2473,Sarjapur  Road,1888.0,4,95.0,3,194
2474,JP Nagar,1300.0,2,90.87,2,109
2475,Rajaji Nagar,1216.0,2,97.16,2,185
2476,Begur,1559.0,3,63.0,3,38
2477,Harlur,1290.0,2,87.0,2,91
2478,Whitefield,905.0,1,55.0,1,224
2479,others,1069.0,2,55.0,2,230
2480,Sarjapur  Road,1300.0,3,60.0,3,194
2481,Channasandra,1115.0,2,33.45,2,56
2482,Ambedkar Nagar,2150.0,4,125.0,3,13
2483,Marathahalli,1305.0,2,69.0,3,161
2484,Kanakpura Road,1252.0,2,56.32,2,127
2485,Whitefield,1200.0,2,46.13,2,224
2486,others,1375.0,2,105.0,2,230
2487,Subramanyapura,1313.0,2,66.5,2,205
2488,Attibele,3640.0,4,275.0,4,21
2489,others,1693.0,3,108.0,3,230
2490,others,1160.0,2,41.75,2,230
2491,Subramanyapura,1255.0,2,79.0,3,205
2492,others,900.0,2,45.0,2,230
2493,Yelahanka New Town,1700.0,3,90.0,3,227
2494,Uttarahalli,1700.0,3,88.0,3,216
2495,Harlur,1749.0,3,115.0,3,91
2496,Dasanapura,1500.0,3,65.0,2,63
2497,others,1175.0,2,48.0,2,230
2498,Akshaya Nagar,1280.0,2,60.0,2,11
2499,others,1200.0,2,50.0,2,230
2500,Ramagondanahalli,1610.0,2,115.0,3,187
2501,Electronic City,1070.0,2,46.0,2,74
2502,TC Palaya,1200.0,2,66.0,2,207
2503,9th Phase JP Nagar,1127.0,2,50.0,2,8
2504,others,600.0,2,23.0,2,230
2505,others,1364.0,2,70.0,2,230
2506,Whitefield,2268.0,3,146.0,4,224
2507,others,1150.0,2,77.5,3,230
2508,others,1146.0,2,39.5,2,230
2509,Magadi Road,1345.0,2,55.0,2,155
2510,others,1110.0,2,41.0,2,230
2511,Kengeri,750.0,2,36.0,2,135
2512,others,1156.0,2,49.5,2,230
2513,others,1247.0,2,59.8,2,230
2514,others,1058.0,2,60.0,2,230
2515,Kaggalipura,950.0,2,48.0,2,119
2516,Vijayanagar,1520.0,2,103.0,3,220
2517,others,900.0,1,30.0,1,230
2518,Hennur Road,2350.0,3,174.0,3,96
2519,Thanisandra,1050.0,2,46.0,2,209
2520,Laggere,2800.0,5,125.0,5,152
2521,others,1500.0,2,65.0,3,230
2522,others,1400.0,2,65.0,2,230
2523,8th Phase JP Nagar,2700.0,4,130.0,4,7
2524,Bommasandra,920.0,2,37.46,2,48
2525,Sarjapur  Road,1200.0,3,70.0,3,194
2526,Haralur Road,1464.0,2,56.0,2,90
2527,Electronics City Phase 1,1555.0,2,82.0,3,76
2528,Whitefield,1150.0,2,55.0,2,224
2529,Kadubeesanahalli,970.0,2,35.0,2,116
2530,Banashankari,2500.0,4,95.0,4,26
2531,others,1166.0,2,53.0,2,230
2532,Electronic City,1350.0,3,58.0,3,74
2533,others,900.0,2,46.0,2,230
2534,others,1190.0,3,55.0,3,230
2535,Kodichikkanahalli,1495.0,2,75.0,3,138
2536,Banashankari Stage III,1350.0,2,68.0,3,28
2537,Green Glen Layout,940.0,2,56.8,2,83
2538,Raja Rajeshwari Nagar,1100.0,2,55.0,2,184
2539,Kaikondrahalli,1300.0,2,61.0,2,120
2540,Hoodi,1105.0,2,46.37,2,97
2541,Sarjapur  Road,2600.0,3,200.0,3,194
2542,Yelahanka,1517.0,3,76.3,3,226
2543,Horamavu Banaswadi,3800.0,8,200.0,6,99
2544,Jalahalli,1615.0,3,89.75,3,111
2545,others,1500.0,3,65.0,3,230
2546,Mysore Road,1082.0,3,50.5,3,166
2547,Marathahalli,1365.0,2,73.0,2,161
2548,CV Raman Nagar,1392.0,2,98.0,2,53
2549,Kodigehalli,1086.0,2,33.66,2,140
2550,Hennur Road,1586.0,3,93.94,3,96
2551,Hennur,1100.0,2,60.0,2,95
2552,Electronic City Phase II,1065.0,2,30.75,2,75
2553,TC Palaya,1500.0,2,120.0,3,207
2554,7th Phase JP Nagar,1575.0,2,120.0,3,6
2555,Hennur Road,1975.0,3,123.0,3,96
2556,others,820.0,2,24.0,2,230
2557,Gubbalala,1745.0,3,110.0,3,84
2558,Nagarbhavi,1223.0,2,60.0,2,169
2559,Ananth Nagar,1200.0,2,65.0,3,16
2560,Basaveshwara Nagar,1200.0,2,90.0,2,36
2561,Binny Pete,665.0,1,46.08,1,45
2562,Bharathi Nagar,1351.0,2,70.0,2,42
2563,Sector 7 HSR Layout,3900.0,3,300.0,3,197
2564,Thanisandra,1588.0,3,75.55,3,209
2565,Amruthahalli,900.0,2,60.0,2,14
2566,Harlur,3385.0,4,260.0,4,91
2567,Panathur,1370.0,2,75.0,3,180
2568,Whitefield,1500.0,3,71.8,3,224
2569,Hoodi,1247.0,2,53.0,2,97
2570,Balagere,1020.07,2,68.38,2,25
2571,others,1033.0,2,32.0,3,230
2572,others,1460.0,2,73.0,3,230
2573,Garudachar Palya,1150.0,2,52.8,2,79
2574,Sarjapur  Road,5965.0,5,385.0,5,194
2575,Babusapalaya,1141.0,2,46.0,2,24
2576,Yelahanka,4315.5,6,125.5,4,226
2577,Doddaballapur,4200.0,4,325.0,4,68
2578,Hosa Road,1665.0,2,125.0,3,101
2579,Kanakapura,1295.0,2,64.0,2,126
2580,Haralur Road,1230.0,2,78.0,2,90
2581,others,1080.0,2,75.0,3,230
2582,Kaggalipura,1000.0,2,60.0,2,119
2583,Whitefield,937.0,1,32.79,1,224
2584,Rayasandra,1708.0,3,75.0,3,189
2585,Thanisandra,1697.0,3,115.0,3,209
2586,Whitefield,3537.0,5,210.0,4,224
2587,Hosa Road,615.0,1,28.29,1,101
2588,Banashankari,1350.0,2,83.0,3,26
2589,Kanakpura Road,2245.0,2,66.4,3,127
2590,Jalahalli,1083.0,2,32.49,2,111
2591,Gottigere,1460.0,2,65.0,3,82
2592,Babusapalaya,1084.0,2,58.0,2,24
2593,Bommasandra,1035.0,2,41.43,2,48
2594,others,2400.0,2,150.0,3,230
2595,Hosur Road,460.0,1,21.0,1,104
2596,Whitefield,1285.0,2,55.9,2,224
2597,Sarjapur,1200.0,3,78.0,3,193
2598,others,1070.0,2,35.0,2,230
2599,Hegde Nagar,1801.0,3,140.0,3,94
2600,Whitefield,1697.0,3,115.0,3,224
2601,AECS Layout,1199.0,2,65.0,2,9
2602,Marathahalli,3800.0,4,205.0,4,161
2603,others,1125.0,2,75.0,2,230
2604,Anandapura,1200.0,2,67.0,2,15
2605,Subramanyapura,1050.0,2,41.0,2,205
2606,Nagarbhavi,956.0,2,49.0,2,169
2607,Sarjapur,1000.0,2,30.0,2,193
2608,others,1596.0,3,95.0,3,230
2609,Kanakpura Road,1296.0,2,89.06,2,127
2610,others,1639.0,3,123.0,3,230
2611,Electronic City Phase II,1219.0,2,61.25,2,75
2612,Uttarahalli,1200.0,3,50.0,3,216
2613,Bannerghatta Road,1218.0,2,73.0,2,34
2614,others,920.0,2,37.0,2,230
2615,Yeshwanthpur,2559.0,3,141.0,3,229
2616,others,525.0,1,26.0,1,230
2617,Bannerghatta Road,1427.0,2,48.51,3,34
2618,Kothannur,1270.0,3,45.0,3,145
2619,Ramagondanahalli,920.0,2,65.0,2,187
2620,Ramamurthy Nagar,1355.0,2,40.0,3,188
2621,Lingadheeranahalli,1530.0,2,90.0,3,154
2622,others,1372.0,2,90.0,3,230
2623,Nehru Nagar,2363.0,5,120.0,4,174
2624,Marathahalli,3895.0,4,220.0,4,161
2625,Jakkur,1950.0,3,131.0,3,110
2626,others,885.0,2,40.0,2,230
2627,Yelahanka,600.0,2,27.0,2,226
2628,Kanakpura Road,1339.0,2,62.0,2,127
2629,Whitefield,1130.0,2,36.0,2,224
2630,Uttarahalli,1085.0,2,43.0,2,216
2631,Yeshwanthpur,1430.0,3,72.0,3,229
2632,Bhoganhalli,1451.5,4,121.0,4,43
2633,others,1490.0,2,59.6,3,230
2634,others,1650.0,4,99.0,4,230
2635,Bellandur,1286.0,2,57.0,2,40
2636,others,925.0,2,63.0,2,230
2637,Bellandur,3016.0,4,230.0,4,40
2638,Haralur Road,1000.0,2,44.0,2,90
2639,Whitefield,1215.0,2,39.0,2,224
2640,others,1200.0,3,95.0,4,230
2641,Lakshminarayana Pura,1336.0,2,100.0,2,153
2642,Yeshwanthpur,673.0,1,36.85,1,229
2643,Anandapura,1200.0,2,58.0,2,15
2644,others,1200.0,2,79.0,2,230
2645,Devanahalli,2400.0,5,100.0,5,65
2646,Sector 2 HSR Layout,1143.0,2,65.0,2,196
2647,Kanakpura Road,1470.0,2,61.74,2,127
2648,Marathahalli,1785.0,3,94.0,3,161
2649,Kothanur,1460.0,3,71.0,3,146
2650,Kasturi Nagar,1500.0,2,80.0,3,131
2651,Sanjay nagar,3300.0,3,250.0,5,191
2652,Chikkalasandra,1230.0,2,48.0,2,59
2653,Yelahanka New Town,650.0,1,20.0,1,227
2654,Benson Town,1480.0,2,120.0,2,41
2655,Thanisandra,1220.0,2,43.92,2,209
2656,others,1570.0,3,115.0,3,230
2657,Mallasandra,1665.0,3,86.91,3,158
2658,Ramamurthy Nagar,1100.0,2,68.0,2,188
2659,Kathriguppe,1350.0,2,87.01,3,132
2660,Kasavanhalli,1719.0,3,116.0,3,130
2661,Budigere,664.0,1,35.0,1,52
2662,Sonnenahalli,1011.0,2,50.53,2,204
2663,others,2400.0,6,130.0,6,230
2664,others,1680.0,3,85.0,3,230
2665,Yeshwanthpur,1069.0,2,49.475,2,229
2666,Uttarahalli,1350.0,2,53.0,3,216
2667,others,875.0,2,33.0,2,230
2668,Hennur,1231.0,2,48.0,2,95
2669,Somasundara Palya,1174.0,2,74.0,2,202
2670,Munnekollal,1560.0,3,75.0,3,164
2671,others,1464.0,2,56.0,2,230
2672,Kanakpura Road,2200.0,3,130.0,3,127
2673,Shivaji Nagar,850.0,2,55.0,2,200
2674,1st Phase JP Nagar,2024.0,3,157.0,3,1
2675,Devanahalli,1080.0,2,44.0,2,65
2676,Electronic City,1020.0,2,29.46,2,74
2677,Begur Road,1500.0,2,55.0,3,39
2678,Kodichikkanahalli,3250.0,4,180.0,4,138
2679,Channasandra,1030.0,2,34.5,2,56
2680,Hebbal,1440.0,2,115.0,2,92
2681,Hoodi,1500.0,2,84.0,2,97
2682,Thanisandra,1380.0,1,62.1,1,209
2683,others,1200.0,2,50.0,2,230
2684,others,705.0,1,36.5,1,230
2685,Harlur,2240.0,5,155.0,3,91
2686,Hegde Nagar,1584.01,3,103.0,3,94
2687,others,1340.0,3,77.0,3,230
2688,others,1800.0,3,70.0,3,230
2689,R.T. Nagar,1200.0,2,45.0,2,182
2690,Sarjapur  Road,685.0,1,40.0,1,194
2691,others,925.0,2,42.0,2,230
2692,others,1230.0,2,57.0,2,230
2693,Kodichikkanahalli,1125.0,2,52.0,2,138
2694,Hebbal,1100.0,2,54.0,2,92
2695,Jigani,2400.0,3,149.0,3,113
2696,Electronic City Phase II,1400.0,2,41.58,3,75
2697,Jakkur,1858.0,3,98.3,3,110
2698,Ambedkar Nagar,3530.0,4,290.0,4,13
2699,HSR Layout,1185.0,2,60.0,2,89
2700,Hennur,1255.0,2,58.0,2,95
2701,Kudlu Gate,1335.0,3,89.0,3,148
2702,Dodda Nekkundi,1999.0,3,132.0,3,67
2703,Kundalahalli,1397.0,3,110.0,3,150
2704,Chikka Tirupathi,1616.0,3,95.0,3,57
2705,Raja Rajeshwari Nagar,1140.0,2,38.55,2,184
2706,Varthur,1200.0,2,98.0,3,217
2707,Balagere,1205.47,2,81.0,2,25
2708,Electronic City,1700.0,3,75.0,3,74
2709,Kanakpura Road,1090.0,2,54.54,2,127
2710,Yeshwanthpur,3600.0,5,220.0,4,229
2711,Thanisandra,923.0,1,60.84,1,209
2712,Green Glen Layout,1050.0,2,48.0,2,83
2713,Hennur Road,2405.0,2,93.865,3,96
2714,others,1485.0,3,85.0,3,230
2715,Dommasandra,1033.0,2,31.5,3,72
2716,Electronic City,1400.0,2,48.0,3,74
2717,Sarjapur  Road,944.0,2,35.0,2,194
2718,Whitefield,1216.0,2,66.48,2,224
2719,others,1100.0,2,39.5,2,230
2720,Thanisandra,1743.0,3,93.25,3,209
2721,Yelahanka,1274.0,2,48.42,2,226
2722,Mysore Road,1512.0,2,110.0,3,166
2723,Cox Town,1650.0,3,100.0,3,62
2724,Doddathoguru,1875.0,3,55.0,3,70
2725,Whitefield,1350.0,3,54.0,3,224
2726,others,1219.0,2,40.0,2,230
2727,Sarjapura - Attibele Road,2400.0,3,85.0,3,195
2728,Hormavu,1141.0,2,44.4,2,100
2729,Anandapura,1151.0,2,43.1,2,15
2730,Sarjapur  Road,915.0,2,38.0,2,194
2731,others,3259.0,3,270.0,3,230
2732,Bannerghatta Road,1115.0,2,65.12,2,34
2733,Thigalarapalya,2072.0,4,139.0,3,210
2734,Kaggadasapura,1200.0,2,53.0,2,118
2735,Singasandra,1300.0,2,65.0,2,201
2736,Bellandur,1457.0,2,85.0,2,40
2737,Kannamangala,1262.0,2,55.0,2,128
2738,Attibele,420.0,1,17.0,1,21
2739,Kanakapura,1160.0,2,46.39,2,126
2740,Kasavanhalli,1115.0,2,50.0,2,130
2741,JP Nagar,1315.0,2,85.4,3,109
2742,Babusapalaya,1500.0,2,57.0,2,24
2743,HSR Layout,1127.0,2,68.0,2,89
2744,Kundalahalli,1397.0,3,104.0,3,150
2745,Whitefield,1173.0,2,60.0,2,224
2746,Sarjapur  Road,2720.0,5,210.0,3,194
2747,Jakkur,1230.0,2,76.0,2,110
2748,others,3200.0,3,190.0,4,230
2749,Sarjapur  Road,858.0,2,31.57,2,194
2750,Talaghattapura,1868.0,3,121.0,3,208
2751,Uttarahalli,1689.28,3,91.2,3,216
2752,Banashankari,1425.0,3,49.88,3,26
2753,Tindlu,1350.0,2,100.0,2,213
2754,Channasandra,4200.0,6,180.0,6,56
2755,Uttarahalli,1310.0,2,85.0,3,216
2756,Haralur Road,4587.5,2,175.0,4,90
2757,others,970.0,2,40.0,2,230
2758,Kundalahalli,1397.0,3,108.0,3,150
2759,Sarjapur,1157.0,2,40.0,2,193
2760,Kasavanhalli,1125.0,2,61.2,2,130
2761,Sonnenahalli,1157.0,2,42.0,2,204
2762,Sarjapur  Road,1241.0,2,82.0,2,194
2763,Marathahalli,4000.0,4,220.0,4,161
2764,Rajiv Nagar,2340.0,4,148.0,4,186
2765,others,596.0,1,42.0,1,230
2766,others,10000.0,16,550.0,16,230
2767,Brookefield,1139.0,2,80.0,2,51
2768,Thigalarapalya,3122.0,5,225.0,4,210
2769,Yeshwanthpur,1168.0,2,64.08,2,229
2770,Chandapura,877.0,2,42.0,2,55
2771,Electronics City Phase 1,1340.0,2,75.0,2,76
2772,others,1405.0,2,70.0,3,230
2773,others,1800.0,3,65.0,3,230
2774,others,1360.0,2,65.0,3,230
2775,others,985.0,2,63.0,2,230
2776,others,1490.0,2,88.0,3,230
2777,others,620.0,1,25.0,2,230
2778,Hormavu,1130.0,2,42.3,2,100
2779,Yelachenahalli,1080.0,2,55.0,2,225
2780,Singasandra,3126.0,4,120.0,4,201
2781,Begur Road,1410.0,2,52.17,3,39
2782,Bommanahalli,1375.0,3,59.0,3,47
2783,Hennur Road,1290.0,2,94.5,3,96
2784,Hosa Road,1318.0,2,85.28,3,101
2785,Electronic City,1128.0,2,68.0,2,74
2786,others,4428.0,4,255.0,4,230
2787,Kanakpura Road,1051.0,2,56.74,2,127
2788,Kengeri,3500.0,5,275.0,3,135
2789,Kannamangala,2400.0,4,130.0,4,128
2790,Yelahanka,1327.0,2,85.0,2,226
2791,Thigalarapalya,2912.0,6,210.0,4,210
2792,others,1301.0,2,55.0,2,230
2793,others,650.0,1,30.0,1,230
2794,Varthur,1200.0,3,67.75,3,217
2795,others,1500.0,2,89.99,3,230
2796,Sarjapur  Road,984.0,2,45.91,2,194
2797,others,910.0,1,42.0,1,230
2798,others,1250.0,3,39.0,3,230
2799,Hosakerehalli,1304.0,2,100.0,2,102
2800,Begur Road,1615.0,3,58.0,3,39
2801,Sarjapur  Road,1400.0,2,68.0,2,194
2802,CV Raman Nagar,1070.0,2,47.5,2,53
2803,Hoodi,1132.0,2,89.37,2,97
2804,others,2000.0,3,85.0,3,230
2805,Sector 2 HSR Layout,794.0,1,65.0,1,196
2806,Raja Rajeshwari Nagar,1090.0,2,43.59,2,184
2807,Gottigere,1500.0,3,70.0,3,82
2808,Whitefield,1269.0,2,75.0,2,224
2809,Kanakpura Road,1070.0,2,37.45,2,127
2810,Marathahalli,1208.0,2,70.0,2,161
2811,Ramamurthy Nagar,1185.0,2,45.5,2,188
2812,Anekal,888.0,2,34.0,2,17
2813,others,532.0,1,22.49,1,230
2814,others,1060.0,3,62.0,3,230
2815,Electronic City,700.0,1,35.0,1,74
2816,others,902.0,2,42.0,2,230
2817,Doddathoguru,984.0,2,51.0,2,70
2818,Hebbal,2700.0,2,100.0,4,92
2819,Jalahalli East,1475.0,3,96.0,3,112
2820,Haralur Road,1300.0,2,79.0,2,90
2821,Babusapalaya,1453.0,2,43.59,3,24
2822,Akshaya Nagar,1666.0,3,95.0,3,11
